geo_code,area_name,pct_owned_total,pct_owned_outright,pct_owned_mortgage,pct_social_rented_total,pct_private_rented_total,pct_rent_free,pct_overcrowded_total,pct_occ_minus1,pct_occ_minus2_less,pct_occ_zero,pct_occ_plus1,pct_occ_plus2_more,pct_deprived_0,pct_deprived_1,pct_deprived_2,pct_deprived_3,pct_deprived_4,pct_multi_deprived,pct_any_deprived,pct_unemployed,pct_employed_total,pct_inactive_total,pct_inactive_sick,pct_self_employed,year
E07000122,Pendle,68.49,35.97,32.52,11.6,18.1,1.61,5.17,4.13,1.04,25.39,40.99,28.45,37.29,32.19,22.54,7.37,0.61,30.52,62.71,4.67,58.92,33.64,6.08,8.92,2011
E07000123,Preston,60.64,28.41,32.23,19.21,18.01,1.45,4.42,3.8,0.62,27.64,35.61,32.33,40.88,31.82,19.83,6.72,0.75,27.3,59.12,4.4,57.02,32.26,5.37,6.66,2011
E07000124,Ribble Valley,76.62,41.95,34.67,7.64,13.63,1.51,1.58,1.45,0.13,18.2,38.29,41.94,53.29,30.05,13.88,2.56,0.22,16.66,46.71,2.06,66.88,28.13,2.73,13.28,2011
E07000125,Rossendale,69.69,31.52,38.17,14.61,14.13,1.28,3.41,2.99,0.42,25.97,38.04,32.58,43.5,30.53,19.71,5.77,0.49,25.97,56.5,4.17,63.63,29.73,5.42,9.99,2011
E07000126,South Ribble,78.82,37.28,41.53,10.51,9.34,0.86,2.0,1.85,0.15,19.11,38.09,40.81,48.58,31.15,16.57,3.42,0.28,20.27,51.42,3.01,66.89,27.2,3.48,8.3,2011
E07000127,West Lancashire,72.99,35.86,37.13,14.67,10.45,1.3,2.18,1.92,0.26,19.24,36.36,42.22,43.13,32.56,19.61,4.4,0.3,24.31,56.87,3.9,60.01,31.77,4.31,9.57,2011
E07000128,Wyre,77.57,43.19,34.38,7.19,13.53,1.19,1.88,1.71,0.18,19.76,41.33,37.02,40.2,33.35,21.58,4.49,0.38,26.45,59.8,3.17,59.97,33.75,4.43,10.76,2011
E07000129,Blaby,80.93,38.11,42.82,7.62,10.02,0.79,1.77,1.57,0.2,17.1,35.47,45.66,49.85,32.17,15.55,2.29,0.14,17.98,50.15,2.86,68.12,26.1,2.28,9.86,2011
E07000130,Charnwood,72.1,35.67,36.43,11.8,14.13,1.16,2.51,2.16,0.35,22.13,35.19,40.17,48.94,31.26,16.23,3.3,0.26,19.8,51.06,3.09,60.2,32.29,2.75,8.35,2011
E07000131,Harborough,78.05,38.37,39.68,8.38,11.24,1.15,1.51,1.33,0.18,15.94,33.85,48.7,54.07,30.49,13.35,1.95,0.13,15.43,45.93,2.45,69.04,26.04,1.99,12.89,2011
E07000132,Hinckley and Bosworth,76.75,37.15,39.59,10.32,11.36,0.98,1.73,1.53,0.2,17.77,37.66,42.83,47.42,31.98,17.2,3.22,0.18,20.6,52.58,3.15,67.24,27.25,2.84,9.99,2011
