geo_code,area_name,year,pct_owned_total,pct_owned_outright,pct_social_rented_total,pct_private_rented_total,pct_rent_free,pct_deprived_0,pct_deprived_1,pct_deprived_2,pct_deprived_3,pct_deprived_4,pct_multi_deprived,pct_any_deprived,latitude,longitude
E06000039,Slough,2021,48.45,19.49,19.58,30.7,0.17,42.32,36.58,16.41,4.37,0.32,21.1,57.68,51.5105,-0.595
E06000040,Windsor and Maidenhead,2011,68.0,32.58,13.28,16.16,1.95,54.43,30.24,12.76,2.34,0.23,15.33,45.57,51.48,-0.644
E06000040,Windsor and Maidenhead,2021,66.15,33.47,12.56,20.6,0.04,58.96,29.8,9.39,1.76,0.09,11.24,41.04,51.48,-0.644
E06000041,Wokingham,2011,79.73,35.57,7.02,11.2,0.93,59.42,28.39,10.39,1.65,0.15,12.19,40.58,51.4112,-0.834
E06000041,Wokingham,2021,76.05,36.08,7.71,14.14,0.04,61.47,29.17,7.97,1.3,0.09,9.36,38.53,51.4112,-0.834
E06000042,Milton Keynes,2011,57.73,21.46,18.02,17.31,0.87,46.75,32.13,16.45,4.23,0.44,21.12,53.25,52.0406,-0.7594
E06000042,Milton Keynes,2021,54.77,24.04,18.08,20.92,0.13,51.25,32.52,12.77,3.23,0.23,16.23,48.75,52.0406,-0.7594
E06000043,Brighton and Hove,2011,53.31,23.36,14.96,29.59,1.28,42.97,32.85,17.79,5.52,0.86,24.18,57.03,50.8279,-0.1385
E06000043,Brighton and Hove,2021,51.41,25.08,14.87,32.69,0.21,47.88,33.0,14.38,4.28,0.46,19.13,52.12,50.8279,-0.1385
E06000044,Portsmouth,2011,54.87,24.12,18.26,24.68,1.22,41.86,32.89,18.84,5.73,0.68,25.25,58.14,50.8058,-1.0872
E06000044,Portsmouth,2021,52.26,25.49,18.0,28.63,0.22,47.19,33.43,14.96,4.09,0.33,19.38,52.81,50.8058,-1.0872
E06000045,Southampton,2011,49.74,21.66,23.27,24.88,1.07,39.81,33.38,20.04,5.98,0.79,26.81,60.19,50.9097,-1.4044
E06000045,Southampton,2021,47.74,22.53,21.9,29.19,0.13,45.36,34.29,15.48,4.47,0.4,20.35,54.64,50.9097,-1.4044
E06000046,Isle of Wight,2011,70.09,41.08,10.68,17.42,1.22,39.18,34.96,20.4,4.9,0.56,25.85,60.82,50.6938,-1.3047
E06000046,Isle of Wight,2021,67.65,44.36,10.89,20.66,0.01,44.1,36.24,15.55,3.81,0.3,19.65,55.9,50.6938,-1.3047
E06000047,County Durham,2011,65.84,31.03,20.11,12.57,1.26,39.31,30.78,23.17,6.41,0.33,29.91,60.69,54.7761,-1.5733
E06000047,County Durham,2021,62.54,34.52,19.96,17.12,0.08,44.48,33.74,17.0,4.66,0.13,21.78,55.52,54.7761,-1.5733
E06000049,Cheshire East,2011,74.49,37.53,11.38,12.5,1.14,49.94,30.63,15.86,3.32,0.25,19.43,50.06,53.161,-2.218
E06000049,Cheshire East,2021,71.86,39.57,11.58,15.51,0.05,54.79,31.59,11.2,2.34,0.09,13.63,45.21,53.161,-2.218
E06000050,Cheshire West and Chester,2011,70.77,34.73,14.71,12.54,1.21,47.0,30.85,17.56,4.27,0.32,22.16,53.0,53.193,-2.715
E06000050,Cheshire West and Chester,2021,68.29,37.14,14.64,15.72,0.1,52.05,32.12,12.63,3.04,0.16,15.83,47.95,53.193,-2.715
E06000051,Shropshire,2011,69.16,38.56,13.46,14.98,1.76,45.93,32.63,17.52,3.63,0.29,21.44,54.07,52.7078,-2.7418
E06000051,Shropshire,2021,68.62,42.46,13.02,17.46,0.06,50.78,34.04,12.44,2.65,0.1,15.19,49.22,52.7078,-2.7418
