geo_code,area_name,pct_owned_total,pct_owned_outright,pct_social_rented_total,pct_private_rented_total,pct_rent_free,pct_deprived_0,pct_deprived_1,pct_deprived_2,pct_deprived_3,pct_deprived_4,pct_multi_deprived,pct_any_deprived,year
E07000116,Tunbridge Wells,65.1,33.85,14.58,19.22,0.03,55.25,31.08,10.99,2.46,0.22,13.67,44.75,2021
E07000117,Burnley,59.78,32.73,15.57,24.32,0.1,40.89,34.28,18.35,6.12,0.36,24.82,59.11,2021
E07000118,Chorley,72.12,37.02,13.24,13.89,0.04,52.54,32.56,12.0,2.8,0.09,14.89,47.46,2021
E07000119,Fylde,71.65,43.53,8.33,19.23,0.03,50.81,33.92,12.36,2.74,0.17,15.27,49.19,2021
E07000120,Hyndburn,63.08,34.25,13.54,23.1,0.06,42.44,34.05,17.51,5.71,0.29,23.5,57.56,2021
E07000121,Lancaster,67.13,38.6,10.26,21.72,0.07,48.39,33.87,13.98,3.55,0.21,17.74,51.61,2021
E07000122,Pendle,64.96,37.11,11.8,22.96,0.08,42.51,35.03,16.94,5.25,0.27,22.47,57.49,2021
E07000123,Preston,58.29,30.57,18.43,22.37,0.06,46.61,33.61,14.98,4.53,0.27,19.78,53.39,2021
E07000124,Ribble Valley,75.47,43.57,8.04,14.97,0.0,58.6,30.49,9.18,1.63,0.1,10.91,41.4,2021
E07000125,Rossendale,67.9,34.55,14.77,17.04,0.06,47.99,32.95,14.71,4.16,0.19,19.06,52.01,2021
E07000126,South Ribble,76.05,39.99,10.37,12.8,0.01,52.4,33.02,12.08,2.38,0.11,14.58,47.6,2021
E07000127,West Lancashire,70.72,39.12,14.34,13.85,0.18,48.71,33.88,14.05,3.23,0.14,17.41,51.29,2021
E07000128,Wyre,73.35,44.71,7.62,18.2,0.02,46.03,34.88,15.35,3.57,0.17,19.1,53.97,2021
E07000129,Blaby,77.89,39.96,8.21,12.8,0.02,53.63,32.86,11.52,1.93,0.06,13.51,46.37,2021
